id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1;亜;1;ア;;a;"rank next, come after, Asia, sub-, -ous (in acids)";-;-
2;哀;1;アイ、あわ-れ、あわ-れむ;かな;ai;"pity, have mercy on, sympathize with";"awa(re), awa(remu)";"pity, have mercy on, sympathize with, grief, sorrow, misery; compassion, pathos"
3;挨;0;アイ;;ai;"push open";-;-
4;愛;3;アイ;オ、いと、め;ai;"love, affection, favorite";-;-
5;曖;0;アイ;;ai;"dark; not clear";-;-
6;悪;4;アク、オ、わる-い;;"aku, 	o";"evil, wrong, vice, wickedness, lawlessness";waru(i);"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory"
7;握;1;アク、にぎ-る;;aku;"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)";nigi(ru);"grasp, hold; make (sushi balls); assume (power); make (money); get (proof)"
8;圧;2;アツ;おさ;atsu;"press, oppress, dominate, overwhelm";-;-
9;扱;1;あつか-う;;-;-;atsuka(u);"treat; entertain; manage, deal with, conduct, work on; handle; manipulate"
10;宛;0;あ-てる;エン;-;-;a(teru);"address (a letter)"
11;嵐;1;あらし;ラン;-;-;arashi;"storm, tempest"
12;安;4;アン、やす-い;;an;"be rested, feel at ease, be relieved, repose";yasu(i);"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless"
13;案;2;アン;;an;"proposition, suggestion, plan, idea; opinion; expectation; bill, draft, measure; table";-;-
14;暗;3;アン、くら-い;;an;dark;kura(i);"dark, gloomy, somber; dim, faint; ignorant "
15;以;4;イ;もち、ゆえ、も;i;"with, by, by means of; because; in view of";-;-
16;衣;2;イ、ころも;エ、きぬ、き、ぎぬ、ぎ;i;garment;koromo;"clothes, robe; dressing; frosting; coating"
17;位;3;イ、くらい;;i;"rank, place, grade";kurai;"grade, rank; court order, dignity, nobility; situation; throne, crown"
18;囲;2;イ、かこ-む、かこ-う;;i;enclosure;"kako(mu), kako(u)";"enclose, surround, encircle; besiege; preserve, store; keep"
19;医;4;イ;;i;"medicine, the healing art; doctor";-;-
20;依;2;イ、[エ];よ;"i, [e	]";"depend on";-;-
21;委;2;イ、ゆだ-ねる;まか;i;"entrust to, discard";yuda(neru);"entrust to, devote (oneself) to"
22;威;1;イ;おど、たけ;i;"dignity, majesty, authority";-;-
23;為;1;イ;ため、な;i;"change; be of use; reach to";-;-
24;畏;0;イ、おそ-れる;かしこ;i;"fear, be overawed, be apprehensive";oso(reru);"fear, be overawed, be apprehensive"
25;胃;2;イ;;i;"stomach; paunch, crop, craw";-;-
26;尉;1;イ;じょう;i;"jailer; old man; rank; company officer";-;-
27;異;2;イ、こと;あや;i;"uncommonness, strangeness, queerness; difference";koto(naru);"differ, vary; be unusual"
28;移;2;イ、うつ-る、うつ-す;;i;"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread";"utsu(ru), utsu(su)";"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread; transfer; pour into, divert(attention), give (a disease to someone)"
29;萎;0;イ、な-える;しぼ、しお;i;"wither, droop, weaken; be paralyzed, be lame";na(eru);"wither, droop, weaken; be paralyzed, be lame"
30;偉;3;イ、えら-い;;i;greatness;era(i);"great, famous, excellent, remarkable"
31;椅;0;イ;;i;chair;-;-
32;彙;0;イ;;i;"same kind";-;-
33;意;4;イ;;i;"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire";-;-
34;違;3;イ、ちが-う、ちが-える;たが;i;"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation)";"chiga(u), chiga(eru)";"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation); change, alter, disguise; make a mistake; break (a promise); sprain, dislocate; cross (two sticks)"
35;維;1;イ;;i;"tie, rope";-;-
36;慰;1;イ、なぐさ-める、なぐさ-む;;i;"amuse oneself; make sport of; seduce";"nagusa(meru), nagusa(mu)";"amuse oneself; make sport of; seduce; comfort, console, cheer"
37;遺;1;イ、[ユイ];のこ;"i, [yui]";"leave behind; bequeath; save, reserve";-;-
38;緯;1;イ;よこいと;i;"woof; horizontal; left and right; parallels of latitude; latitude";-;-
39;域;2;イキ;;iki;"region; limits; stage, level";-;-
40;育;3;イク、そだ-つ、そだ-てる、はぐく-む;;iku;"be raised, be brought up, grow, grow up";"soda(tsu), soda(teru), haguku(mu)";"be raised, be brought up, grow, grow up; raise, rear, bring up"
41;一;5;イチ、イツ、ひと、ひと-つ;;"ichi, 	itsu";"one, a";"hito, hito(tsu)";"one, a unit; the same; just; once"
42;壱;1;イチ;;ichi;one;-;-
43;逸;1;イツ;イチ;itsu;"idleness, leisure";-;-
44;茨;0;[いばら];;-;"thorn, brier";[ibara];"thorn, brier"
45;芋;1;いも;;-;-;imo;potato
46;引;3;イン、ひ-く、ひ-ける;;in;"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside";"hi(ku), hi(keru)";"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside; close, be over; can discount; slink away"
47;印;2;イン、しるし;;in;"seal, stamp, mark";shirushi;"sign, mark; symbol, emblem; badge; evidence; souvenir; token; brand, trademark; signs, indications; omen; seal"
48;因;3;イン、よ-る;ちな;in;"cause, factor";yo(ru);"depend on, be limited to"
49;咽;0;イン;のど、むせ;in;"be choked, be smothered";-;-
50;姻;1;イン;;in;marry;-;-
51;員;4;イン;;in;"member; number; the one in charge";-;-
52;院;4;イン;エン;in;"mansion; temple; palace; hospital; school; institution; congress; ex-emperor";-;-
53;淫;0;イン、みだ-ら;;in;"lewdness, licentiousness";mida(ra);"licentious, indecent, lewd"
54;陰;1;イン、かげ、かげ-る;;in;"the yin principle; negative; melancholy; north side of a mountain; sex organs; secret; shadow; south side of a river; negative electrode; earth; bottom; back; inactivity; nighttime; moon";"kage, kage(ru)";"darken; cloud up; be obscured; shade; back; (your) assistance"
55;飲;4;イン、の-む;;in;"drinking; feast";no(mu);"drink, taste, take; swallow, devour; smoke; conceal (a weapon); accept (an idea); despise"
56;隠;1;イン、かく-す、かく-れる;オン;in;"hide, conceal, cover, veil, cloak, disguise";"kaku(su), kaku(reru)";"hide, conceal, cover, veil, cloak, disguise; disappear; pass away; be anonymous; lurk"
57;韻;1;イン;;in;"rhyme; elegance; tone";-;-
58;右;5;ウ、ユウ、みぎ;;"u, 	yuu";"right, right hand";migi;"right, right hand"
59;宇;2;ウ;;u;"eaves; roof; house; heaven";-;-
60;羽;2;ウ、は、はね;わ;u;feather;"ha, hane";"feather; plumage, wing; blade, paddle, fan"
61;雨;5;ウ、あめ、[あま];;u;"rain, fainfall";"ame, [ama]";"rain, rainfall"
62;唄;1;[うた];バイ;-;-;[uta];"songs accompanied by the samisen"
63;鬱;0;ウツ;ふさ;utsu;"gloom, depression, melancholy";-;-
64;畝;1;うね;ポ、せ;-;-;une;"ridge (in a field), furrow, rib or cord (in cloth)"
65;浦;1;うら;ホ、ポ;-;-;ura;"creek, inlet; bay, gulf; beach, seacoast"
66;運;4;ウン、はこ-ぶ;;un;"destiny, fate, lot, fortune, luck";hako(bu);"transport, carry; progress, advance"
67;雲;2;ウン、くも;;un;cloud;kumo;cloud
68;永;2;エイ、なが-い;;ei;"long, lengthy";naga(i);"long, lengthy"
69;泳;3;エイ、およ-ぐ;;ei;"swim; totter; keep afloat, get along";oyo(gu);"swim; totter; keep afloat, get along"
70;英;4;エイ;はなぶさ、はな;ei;"England, Britain; gifted person; wit";-;-
71;映;4;エイ、うつ-る、うつ-す、は-える;;ei;"reflecting; projection";"utsu(ru), utsu(su), ha(eru)";"shine, be brilliant; look attractive; be reflected; match, harmonize, be becoming; be taken (a photo); copy, transcribe, duplicate, reproduce, trace; describe, picture, photograph"
72;栄;2;エイ、さか-える、は-え、は-える;ヨウ;ei;"prosperity, glory, splendor, honor";"saka(eru), ha(e), ha(eru)";"prosper, flourish, thrive; glory; shine, be brilliant; look attractive"
73;営;2;エイ、いとな-む;;ei;"camp, performing";itona(mu);"perform (ceremoies); build; conduct (business); follow (a profession), operate  (a store)"
74;詠;1;エイ、よ-む;うた;ei;"poem; song; singing; composing";yo(mu);"recite, chant"
75;影;1;エイ、かげ;ヨウ;ei;shadow;kage;"light; shadow; silhouette; phantom; reflection, figure, trace "
76;鋭;2;エイ、するど-い;;ei;"sharpness; edge; (sharp) weapon; picked men (soldiers), the pick";surudo(i);"pointed, sharp; violent, scathing; keen (sense); sharp (ear); penetrating (eye); shrewd"
77;衛;1;エイ;エ、まも;ei;protection;-;-
78;易;3;エキ、イ、やさ-しい;やす;"i, 	eki";"easiness; divination, augury, fortunetelling";yasa(shii);"easy, simple, light; habitual"
79;疫;1;エキ、[ヤク];;"eki, [yaku]";epidemic;-;-
80;益;1;エキ、[ヤク];ますます、ま;"eki, [yaku]";"gain, benefit, profit, use, advantage";-;-
81;液;2;エキ;;eki;"liquid, fluid, juice, sap, secretion";-;-
82;駅;4;エキ;;eki;"post town; stage; station";-;-
83;悦;1;エツ;よろこ;etsu;"joy, rapture, ecstasy, amusement";-;-
84;越;3;エツ、こ-す、こ-える;オチ、エチ、オッ;etsu;"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come";"ko(su), ko(eru)";"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come; go beyond; exceed; clear (an obstacle); overstep (authority)"
85;謁;1;エツ;;etsu;"audience (with a ruler)";-;-
86;閲;1;エツ;;etsu;"inspection, revision";-;-
87;円;5;エン、まる-い;まど;en;"circle; yen";maru(i);"round, circular, spherical"
88;延;2;エン、の-びる、の-べる、の-ばす;び;en;stretching;"no(biru), no(beru), no(basu)";"extend, lengthen, stretch, spread; be postponed; increase; grow; progress, develop; be straightened, be flattened, be smoothed; be exhausted; let (nails) grow; straighten; uncoil; spread out; reach out; postpone; dilute; smooth out; develop (talents); amass (riches); make (a bed); widen"
89;沿;1;エン、そ-う;;en;"following along";so(u);"run along; lie along; be situated on"
90;炎;1;エン、ほのお;;en;inflammation;honoo;"flame, blaze"
91;怨;0;エン、オン;うら;"en, on";"bear a grudge, show resentment; be jealous";-;-
92;宴;1;エン;うたげ;en;"feast, banquet, party, entertainment";-;-
93;媛;1;エン;ひめ;en;"princess; young lady of noble birth";-;-
94;援;1;エン;;en;"help, save";-;-
95;園;3;エン、その;オン;en;"garden, yard, plantation, farm";sono;"garden, park"
96;煙;3;エン、けむ-る、けむり、けむ-い;;en;smoke;"kemu(ru), kemuri, kemu(i)";"smoke, smolder, be smoky; smoky; fumes; spray"
97;猿;1;エン、さる;;en;monkey;saru;"monkey, ape; minic; sly person; door bolt; fastener"
98;遠;3;エン、[オン]、とお-い;;"en, [on]";"far, distant, remote; hard (of hearing)";too(i);"far, distant, remote; hard (of hearing)"
99;鉛;1;エン、なまり;;en;lead(metal);namari;lead(metal)
100;塩;2;エン、しお;;en;salt;shio;"salt, seasoning"
101;演;3;エン;;en;"perform, play, act, enact, render, stage, put on";-;-
102;縁;1;エン、ふち;えにし、へり、よ;en;"relation, connection, affinity, ties, bond; blood relation; karma relation; fate, destiny; chance; marriage; acquaintance; marriage alliance; veranda, balcony";fuchi;"edge, verge, shore, side, brink, margin, brim, rim, flange, frill, frame, bank, fringe, border"
103;艶;1;エン、つや;;en;"luster, glaze, polish; charm";tsuya;"gloss, luster, glaze, polish, brightness; charm, romance, love "
104;汚;2;オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い;;o;"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape";"kega(su), kega(reru), kega(rawashii), yogo(su), yogo(reru), kitana(i)";"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape; get dirty; be defiled; be contaminated; filthy; unfair; soil; debauch; be stained, tarnish; dirty, filthy, unclean, soiled; shabby; indecent, obscene; base, sordid; stingy; foul"
105;王;3;オウ;;oo;"king, rule, magnate, baron";-;-
106;凹;1;オウ;;oo;"hollow, sunken";-;-
107;央;2;オウ;ヨウ、つ;oo;middle;-;-
108;応;2;オウ、こた-える;;oo;"yes, all right";kota(eru);"respond, answer; be affected by (pain or stimulation); be effective"
109;往;1;オウ;い、ゆ;oo;"let go; chase away";-;-
110;押;3;オウ、お-す、お-さえる;;oo;"push, shove; press, squash, compress; stamp, seal; do in spite of";"o(su), o(saeru)";"push, shove; press, squash, compress; stamp, seal; do in spite of; stop, check, restrain, pin down; suppress, subdue, control; catch, arrest; govern; stop (the ears); withhold; attach, seize; secure (evidence), estimate conservatively"
111;旺;1;オウ;;oo;"flourishing, successful; beautiful; vigorous";-;-
112;欧;2;オウ;;oo;Europe;-;-
113;殴;1;オウ、なぐ-る;;oo;"hit, beat, thrash";nagu(ru);"hit, beat, thrash"
114;桜;1;オウ、さくら;;oo;"flowering cherry; cherry blossoms; pink color; horse meat";sakura;"flowering cherry; cherry blossoms; pink color; horse meat"
115;翁;1;オウ;おきな;oo;"old man, venerable";-;-
116;奥;2;オウ、おく;;oo;"heart, interior";oku;"heart, interior"
117;横;3;オウ、よこ;;oo;horizontal;yoko;"side, flank; horizontal direction; width, breadth, beam; woof"
118;岡;1;[おか];コウ;-;-;[oka];"hill, knoll, rising ground"
119;屋;4;オク、や;;oku;"house, roof";ya;"shop, store; seller, dealer; business"
120;億;2;オク;;oku;100,000,000;-;-
121;憶;1;オク;おぼ;oku;"think, remember";-;-
122;臆;0;オク;;oku;"timidity; breast, heart, mind";-;-
123;虞;1;おそれ;グ;-;-;osore;"fear; anxiety; concern; uneasiness"
124;乙;1;オツ;;otsu;"B, second; the latter; duplicate";-;-
125;俺;0;おれ;;-;-;ore;I
126;卸;1;おろ-す、おろし;;-;-;"oro(su), oroshi";"sell at wholesale; grated (vegetables); wholesale"
127;音;4;オン、イン、おと、ね;;"on, 	in";"sound; noise; pronunciation; tone";"oto, ne";"sound, noise, roar; fame; tone, note, voice, chirping"
128;恩;1;オン;;on;"kindness, goodness, favor, mercy, blessing, benefit";-;-
129;温;2;オン、あたた-か、あたた-かい、あたた-まる、あたた-める;ウン;on;"warm, heat";"atata(ka), atata(kai), atata(maru), atata(meru)";"warm, heat; warm oneself, sun oneself, get warm; mild, genial, cordial "
130;穏;1;オン、おだ-やか;;on;"calm, quiet, peace; moderation";oda(yaka);"calm, quiet, peace; moderation"
131;下;5;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;;"ka, 	ge";"low class; inferiority; second, or last volume";"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)";"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity"
132;化;3;カ、ケ、ば-ける、ば-かす;;"ka, 	ke";"influence; bewitch, enchant, confuse, delude";"ba(keru), ba(kasu)";" bewitch, enchant, confuse, delude; appear in disguise"
133;火;5;カ、ひ、[ほ];コ;ka;"fire, Tuesday";"hi, [ho]";"fire, flame, blaze"
134;加;3;カ、くわ-える、くわ-わる;ケ;ka;"addition, increase";"kuwa(eru), kuwa(waru)";"join in; accede to; gain in (influence); increase; add, sum up; append; include; inflict"
135;可;3;カ;;ka;"good, passable; approval; safe to say, ability to do";-;-
136;仮;2;カ、[ケ]、かり;たと;"ka, [ke]";"(Buddhist) vanity";kari;"tempory, provisional; informal, unauthorized; fleeting; assumed (name); interim; acting; temporarily, provisionally; for example; for argument's sake; even for an instant; even as a joke"
137;何;5;カ、なに、[なん];いず;ka;what;"nani, [nan]";what
138;花;4;カ、はな;ケ、ゲ、あや;ka;flower;hana;"flower, blossom; cherry blossoms; essence, spirit, pride; pearl; youth; best days; beautiful woman, flower arrangement; flower-card game"
139;佳;1;カ;ケ、よ;ka;"good, excellent, beautiful";-;-
140;価;2;カ、あたい;;ka;"price, cost, value, worth";atai;"price, cost, value, worth"
141;果;3;カ、は-たす、は-てる、は-て;くだもの;ka;"fruit, reward";"ha(tasu), ha(teru), ha(te)";"carry out, achieve, complete; realize, perform, fulfill; end, be finished, be exhausted; die, perish; limit, bounds, extremity, result; fate"
142;河;2;カ、かわ;;ka;"river, stream";kawa;"river, stream"
143;苛;0;カ;;ka;"torment, scold, chastise";-;-
144;科;3;カ;しな、とが;ka;"course, branch, department, faculty, school, college; arm (of defense); family (in biology)";-;-
145;架;1;カ、か-ける、か-かる;;ka;"frame, mount, stand, support; hang up; shelf";"ka(keru), ka(karu)";"build (a bridge), hang"
146;夏;4;カ、[ゲ]、なつ;;"ka, [ge]";summer;natsu;summer
147;家;4;カ、ケ、いえ、や;;"ka, 	ke";house;"ie, ya";"house, home, residence; housing; family, household; family name; fortune; shop, store, seller; dealer"
148;荷;2;カ、に;;ka;"shoulder-pole load";ni;"load, baggage, freight, cargo; burden"
149;華;1;カ、[ケ]、はな;;"ka, [ke]";"flower, petal, shining, luster, China";hana;flower
150;菓;2;カ;;ka;"cakes; fruit";-;-
151;貨;2;カ;;ka;"property, freight, goods";-;-
152;渦;1;カ、うず;;ka;"eddy, whirlpool, vortex";uzu;"eddy, whirlpool, vortex"
153;過;3;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;よぎ;ka;"excess; error";"su(giru), su(gosu), ayama(tsu), ayama(chi)";"pass, go past; elapse; exceed; spend; tide over; go through; live, (eat) too much; err; fault, error, indiscretion"
154;嫁;1;カ、よめ、とつ-ぐ;;ka;"marry (a man); be married to; blame";"yome, totsu(gu)";"marry off; get married; bride, young wife, daughter-in law"
155;暇;1;カ、ひま;いとま;ka;"rest, leisure";hima;"time; leisure; poor business; leave of absence; dismissal; divorce"
156;禍;1;カ;ワ;ka;"calamity, misfortune";-;-
157;靴;3;カ、くつ;;ka;shoes;kutsu;"shoes, boots"
158;寡;1;カ;やもめ;ka;"minority, few, minimum; widow,";-;-
159;歌;4;カ、うた、うた-う;;ka;"sing, recite, chant, carol";"uta, uta(u)";"sing, recite, chant, carol; poem, tanka, ballad, poetry; singing"
160;箇;1;カ;;ka;"counters for things";-;-
161;稼;1;カ、かせ-ぐ;;ka;"work, earn money";kase(gu);"work, earn money"
162;課;2;カ;;ka;"lesson; section, department; allotment, division";-;-
163;蚊;1;か;;-;-;ka;mosquito
164;牙;0;ガ、[ゲ]、きば;;"ga, [ge]";"tusk, fang, canine tooth, eyetooth";kiba;"tusk, fang, canine tooth, eyetooth"
165;瓦;0;ガ、かわら;;ga;tile;kawara;tile
166;我;1;ガ、われ、わ;;ga;"ego, self, selfishness, egotism";"ware, wa";"I, oneself, self, ego"
167;画;4;ガ、カク;エ、えが;"ga, 	kaku";"picture, drawing, painting, sketch; stroke (in a character)";-;-
168;芽;1;ガ、め;;ga;"sprout, spear, germ";me;"sprout, spear, germ"
169;賀;1;ガ;カ;ga;"congratulations, felicitations, compliments, joy of the occasion";-;-
170;雅;1;ガ;みやび;ga;"elegance, refined taste";-;-
171;餓;1;ガ;う;ga;"be hungry, starve, thirst";-;-
172;介;2;カイ;ケ、すけ;kai;"shell, shellfish";-;-
173;回;3;カイ、[エ]、まわ-る、まわ-す;めぐ;"kai, [e]";"time; round, game, bout, heat, inning, innings; go around";"mawa(ru), mawa(su)";"and, turn, go around; revolve, rotate, spin, gyrate; patrol, tour; take effect (medicine); be distributed; be past (time); be transferred; circularize; pass around; forward, transmit; refer to; transfer; lend money"
174;灰;2;カイ、はい;;kai;ashes;hai;ashes
175;会;4;カイ、エ、あ-う;ケ;"kai, 	e";"Buddhist ceremony; understanding; meeting, assembly; party; association, club";a(u);"meet, interview"
176;快;2;カイ、こころよ-い;;kai;"pleasure, enjoyment";kokoroyo(i);"pleasant, agreeable, comfortable, refreshing, delightful; well (from illness)"
177;戒;1;カイ、いまし-める;;kai;"commandment; admonition";imashi(meru);"admonish, warn, prohibit"
178;改;2;カイ、あらた-める、あらた-まる;;kai;"change, modify, convert; renew, renovate; reform, mend, rectify; amend, revise, improve; examine, inspect, search";"arata(meru), arata(maru)";"change, modify, convert; renew, renovate; reform, mend, rectify; amend, revise, improve; examine, inspect, search; be renewed, be renovated; be modified, be revised; be improved, be reformed; be ceremonious"
179;怪;1;カイ、あや-しい、あや-しむ;ケ;kai;"mystery; apparition";"aya(shii), aya(shimu)";"doubt; be suspicious of; wonder at; undependable, mysterious, strange"
180;拐;1;カイ;かどわか;kai;"falsify, kidnap";-;-
181;悔;1;カイ、く-いる、く-やむ、くや-しい;ゲ;kai;"repend, regret";"ku(iru), ku(yamu), kuya(shii)";"repend, regret;repent of; mourn for, condole with; vexing, regretable, mortifying"
182;海;4;カイ、うみ;;kai;"sea, ocean";umi;"sea, ocean"
183;界;4;カイ;さかい;kai;"circle, world, boundary, limits";-;-
184;皆;3;カイ、みな;みんな;kai;"all, everybody, everything";mina;"all, everybody, everything"
185;械;2;カイ;;kai;"fetters; machine; instrument";-;-
186;絵;3;カイ、エ;;"kai, 	e";"picture, drawing, painting, sketch, illustration, cut, print";-;-
187;開;4;カイ、ひら-く、ひら-ける、あ-く、あ-ける;;kai;opening;"hira(ku), hira(keru), a(ku), a(keru)";"open, unfold, unroll, uncover, unpack, untie, unseal; establish; clear (land); pioneer; clear the way; convene; enlighten ( a country); bloom; differ, have a margin; widen (the space between); become civilized, become modernized; become sensible; be opened to traffic; feel relief; be open; grow, develop (a town); start, commence; become vacant, become empty, be disengaged, be free; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; begin"
188;階;2;カイ;はし、しな;kai;"stair, staircase; round; step; grade; story, floor; counter for stories (in a building)";-;-
189;塊;1;カイ、かたまり;;kai;"lump, chunk, clod, mass, clot, ingot";katamari;"lump, chunk, clod, mass; clump, cluster, group; flock; bigotry; personification (of)"
190;楷;0;カイ;;kai;"square-character style; straight tree; correctness, rule, model";-;-
191;解;3;カイ、ゲ、と-く、と-かす、と-ける;ケ;"kai, 	ge";"explanation, notes; key; excuse; understanding";"to(ku), to(kasu), to(keru)";"untie, undo, loosen, unpack; unravel, disentangle, unsew; dismantle; solve, answer; dispel; cancel; absolve; release; dismiss (a person); explain; comb out; get loose, come untied; relent; be solved, be dispelled; be relieved (of a job)"
192;潰;0;カイ、つぶ-す、つぶ-れる;つい;kai;"crush, smash, break; dissipate; waste(time); kill, butcher; demolish; melt down";"tsubu(su), tsubu(reru)";"be smashed, be destroyed, collapse; be defaced(type); be ruined; be worn down; crush, smash, break; dissipate; waste(time); kill, butcher; demolish; melt down"
193;壊;1;カイ、こわ-す、こわ-れる;エ;kai;break;"kowa(su), kowa(reru)";"break; destroy; tear up; crack; smack; mar; be broken; be demolished; fall into ruin"
194;懐;1;カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける;いだ;kai;"heart, feeling";"futokoro, natsu(kashii), natsu(kashimu), natsu(ku), natsu(keru)";"bosom, breast, heart; pocket, purse; dear, longed-for; yearning for; yearn for, miss someone; win over, win another’s heart; become attached to"
195;諧;0;カイ;;kai;"harmony, order, suitability";-;-
196;貝;2;かい;;-;-;kai;"shell, shellfish"
197;外;5;ガイ、ゲ、そと、ほか、はず-す、はず-れる;ウイ;"gai, 	ge";"outside, without, beside, beyond the scope off";"soto, hoka, ha(zusu), hazu(reru)";"outside, exterior, open air; some other place; outside; the rest; take off, remove, unfasten, undo, detach, disconnect, put out off gear; miss, fail; avoid, evade, dodge; be off, come off, be or get out of place, be out of gear, run off the track, slip out or off, be dislocated, be disconnected, be off the hook (a phone), be unbuttoned, be unzipped"
198;劾;1;ガイ;;gai;"criminal investigation";-;-
199;害;3;ガイ;;gai;"injury, harm, damage, mischief, interference";-;-
200;崖;0;ガイ、がけ;;gai;"cliff, bluff, precipice";gake;"cliff, bluff, precipice"
201;涯;1;ガイ;;gai;shore;-;-
202;街;1;ガイ、[カイ]、まち;;"gai, [kai]";"street, avenue; town";machi;"town; quarters; street"
203;慨;1;ガイ;;gai;"be sad";-;-
204;蓋;0;ガイ、ふた;かさ;gai;cover;futa;"cover, lid, flap, hood"
205;該;1;ガイ;;gai;"the said";-;-
206;概;1;ガイ;おおむ;gai;"approximation; condition, situation";-;-
207;骸;0;ガイ;むくろ;gai;"bone, body";-;-
208;垣;1;かき;;-;-;kaki;"fence, hedge, wall"
209;柿;0;かき;シ;-;-;kaki;persimmon
210;各;2;カク、おのおの;;kaku;each;onoono;"each, every, either, respectively"
211;角;2;カク、かど、つの;すみ、ずみ;kaku;"angle; corner; square; squared timber; target";"kado, tsuno";"corner, angle; edge; angularity; harshness; horn, feeler, tentacle"
212;拡;2;カク;ひろ;kaku;"expand, enlarge, widen; unfurl; open (arms or a package), stretch, spread";-;-
213;革;2;カク、かわ;;kaku;"tanned leather";kawa;"skin; hide; leather; fur, pelt; bark; peeling, husk, shell; film, cream"
214;格;3;カク、[コウ];;"kaku, [koo]";"status, rank; capacity, character; standard; a rule; a case (in law); case (in grammer)";-;-
215;核;1;カク;;kaku;"nucleus, core, seed, kernel";-;-
216;殻;1;カク、から;;kaku;"husk, hull, nutshell; cast-off skin; tofu refuse; corpse; earth's crust";kara;"husk, hull, nutshell; cast-off skin; tofu refuse; corpse; earth's crust"
217;郭;1;カク;くるわ;kaku;"enclosure; quarters";-;-
218;覚;3;カク、おぼ-える、さ-ます、さ-める;;kaku;"remember, memorize; learn, perceive; feel, experience, know; expect";"obo(eru), sa(masu), sa(meru)";"remember, memorize; learn, perceive; feel, experience, know; expect; awake, wake up; be disillusioned; sober up"
219;較;2;カク;コウ、くら;kaku;"compare, balance, contrast";-;-
220;隔;1;カク、へだ-てる、へだ-たる;;kaku;"distance, every other, alternate ";"heda(teru), heda(taru)";"separate, interpose; screen, shield; estrange; be distant from, be separated from, become estranged"
221;閣;1;カク;;kaku;"tower, tall building, palace, cabinet (of a government)";-;-
222;確;3;カク、たし-か、たし-かめる;;kaku;"firm, tight, hard, solid";"tashi(ka), tashi(kameru)";"ascertain, confirm, verify; sure, positive; accurate; reliable; sound, firm; clear, evident; genuine; able, competent; sober, sane; I think; if I remember right; certainly, doubtless; for certain"
223;獲;1;カク、え-る;;kaku;"get, acquire, find, earn, win, gain, receive; can, be able to, may; commit (sin)";e(ru);"get, acquire, find, earn, win, gain, receive; can, be able to, may; commit (sin)"
224;嚇;1;カク;;kaku;"threaten; frighten; intimidate";-;-
225;穫;1;カク;か;kaku;"harvest, reap";-;-
226;学;5;ガク、まな-ぶ;;gaku;"learning, study, science, scholarship, erudition";mana(bu);"learn, study"
227;岳;1;ガク、たけ;;gaku;"peak, mountain";take;"peak, mountain"
228;楽;4;ガク、ラク、たの-しい、たの-しむ;;"gaku, 	raku";"music; comfort, ease, relief; pleasure; concluding program";"tano(shii), tano(shimu)";"enjoy; amuse oneself; anticipate; merry, pleasant, cheerful, joyful"
229;額;2;ガク、ひたい;ぬか;gaku;"tablet, plaque, framed picture; sum, quantity, amount, volume; denomination";hitai;"forehead, brow"
