id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1785;分;5;ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ;;"bun, fun, bu";"dividing; part, segment; share; ration; rate; degree; one's lot, one's status; relation; duty; kind, lot. a minute of time; one-sixtieth of a degree; one-tenth of a momme. rate, part, percentage; one percent; thickness; odds; chance of winning; one-tenth of a shaku; one quarter of a ryo ";"wa(keru), wa(kareru), wa(karu), wa(katsu)";"understand, comprehend; know, be known, be identified; be open to reason, be sensible; can tell (what will happen); appreciate; be announced; be discovered; recognize. divide, split, separate; isolate; distribute, share; distinguish; spare. share with; distinguish between. branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter "
1786;文;4;ブン、モン、ふみ;あや、もじ;"bun, 	mon";"1/100 of a hyakume; crest; figures. literary text, production, composition; sentence; style; literature, art; the pen; civil affairs; decoration; characters; elegance ";fumi;"letter, note"
1787;聞;5;ブン、モン、き-く、き-こえる;;"bun, 	mon";"hear, listen to; learn of; inquire; follow advice ";"ki(ku), ki(koeru)";"hear, listen to; learn of; inquire; follow advice. be heard; sound, ring, seem; be well known; be reasonable "
1788;丙;1;ヘイ;ひのえ;hei;"C, third";-;-
1789;平;3;ヘイ、ビョウ、たい-ら、ひら;ヒョウ、ピョウ;"hei, 	byoo";"level, peaceful";"tai(ra), hira";"flat, smooth; calm; a plain; sitting tailor fashion. earnestly, humbly. common, ordinary "
1790;兵;2;ヘイ、ヒョウ;つわもの;"hei, 	hyoo";"soldier, private; troops, army; warfare; arms; strategy, tactics";-;-
1791;併;1;ヘイ、あわ-せる;しか;hei;"get together, unite ";awa(seru);"get together, unite "
1792;並;2;ヘイ、なみ、なら-べる、なら-ぶ、なら-びに;な;hei;"line up, be in a row; rank with, rival, equal ";"nami, mara(beru), nara(bu), nara(bini)";"line up, be in a row; rank with, rival, equal. arrange, place in order, marshal, put side by side, display, serve (food); enumerate; compare with. common, ordinary, average. and, besides, as well as"
1793;柄;1;ヘイ、がら、え;;hei;"handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship) ";"gara, e";"handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship). pattern, design; build; character, nature "
1794;陛;1;ヘイ;;hei;"steps (of the throne)";-;-
1795;閉;3;ヘイ、と-じる、と-ざす、し-める、し-まる;;hei;"shut, close";"to(jiru), to(zasu), shi(meru), shi(maru)";"shut, close. lock, fasten; plunge (in grief)"
1796;塀;1;ヘイ;;hei;"wall, fence";-;-
1797;幣;1;ヘイ;ぬさ;hei;"Shinto zigzag paper offerings; bad habit; humble prefix; gift";-;-
1798;弊;1;ヘイ;;hei;"evil, abuse, vice, bad custom; breakage; our (humble); Shinto zigzag paper offering; tribute ";-;
1799;蔽;0;ヘイ;おお;hei;"cover, covering; shade; mantle, coat; hood, bonnet; casing; awning";-;-
1800;餅;0;ヘイ、もち;;hei;"rice cake";mochi;"rice cake"
1801;米;3;ベイ、マイ、こめ;よね;"bei, 	mai";"rice, U.S.A.";kome;rice
1802;壁;2;ヘキ、かべ;;heki;"wall; lining (of the stomach); fence; partition";kabe;wall
1803;璧;0;ヘキ;;heki;"ball, bowl, sphere, bulb";-;-
1804;癖;1;ヘキ、くせ;;heki;habit;kuse;"habit, peculiality, vice, trait, fault; curl, kink; mannerism"
1805;別;4;ベツ、わか-れる;;betsu;"divide, split, separate; isolate; distribute, share; distinguish; spare ";waka(reru);"branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter "
1806;蔑;0;ベツ、さげす-む;;betsu;"ignore, despise, neglect, ridicule";sagesu(mu);"despise, ridicule"
1807;片;2;ヘン、かた;;hen;"leaf, sheet, petal, flake";kata;"one (eye, etc.); single (shift, etc.); one-way; one-sided"
1808;辺;2;ヘン、あた-り、べ;ふち、は、へ;hen;"side; boundary, border; beach; region, district, rural areas; vicinity; approximation ";"ata(ri), be";vicinity
1809;返;3;ヘン、かえ-す、かえ-る;;hen;answer;"kae(su), kae(ru)";"go back; return to former employer; (colors) fade. return, give back; repay; put back; overturn; requite (favors); take vengeance; turn around; answer; regurgitate "
1810;変;3;ヘン、か-わる、か-える;;hen;"change; accident, calamity; uprising; something strange ";"ka(waru), ka(eru)";"change, vary; be revised; be different; be queer; move; be transferred. vary convert; revise, amend "
1811;偏;1;ヘン、かたよ-る;;hen;"side; left radical of a character; inclining";katayo(ru);"lean, incline; be biased "
1812;遍;1;ヘン;あまね;hen;times;-;-
1813;編;2;ヘン、あ-む;;hen;"compilation, editing; completed poem; a book; a part of a book ";a(mu);"knit, plait, braid, net, weave, twist, crochet; compile, edit, frame "
1814;弁;1;ベン;わきま;ben;"braid. petal, valve. discrimination. speech, dialect; oratory ";-;-
1815;便;3;ベン、ビン、たよ-り;;"ben, 	bin";"convenience, facility; excreta, stools; evacuation. chance; mail, letter ";tayo(ri);"news, tidings; connection "
1816;勉;4;ベン;つと;ben;"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) ";-;-
1817;歩;4;ホ、ブ、[フ]、ある-く、あゆ-む;;"ho, bu, [fu]";"step, pace; foot soldier. rate, six feet square, tsubo; change of winning. pawn (in Japanese chess) ";"aru(ku), ayu(mu)";"walk, hike, step"
1818;保;2;ホ、たも-つ;やす;ho;guarantee;tamo(tsu);"keep, preserve, hold, retain, maintain; support, sustain; last, endure, keep well (food), wear well, be durable "
1819;哺;0;ホ;;ho;"taking in the mouth";-;-
1820;捕;3;ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる;;ho;"catch, arrest, capture ";"to(raeru), to(rawareru), to(ru), tsuka(maeru), tsuka(maru)";"catch, arrest, capture. be caught, be captured. be arrested; be a slave to; be seized with "
1821;補;2;ホ、おぎな-う;フ;ho;"assistant, learner";ogina(u);"supply, make good, make up (losses), stop (a gap), offset, piece out; compensate for; supplement"
1822;舗;1;ホ;;ho;"shop, store";-;-
1823;母;5;ボ、はは;モ;bo;"mother; cause; motive";haha;"mother; cause; motive"
1824;募;2;ボ、つの-る;;bo;"gather (contributions); campaign (for students); float (a loan); enlist (troops); grow violent";tsuno(ru);"gather (contributions); campaign (for students); float (a loan); enlist (troops); grow violent"
1825;墓;1;ボ、はか;;bo;"grave, tomb";haka;"grave, tomb"
1826;慕;1;ボ、した-う;;bo;"yearn for, love dearly, adore, follow";shita(u);"yearn for, love dearly, adore, follow"
1827;暮;3;ボ、く-れる、く-らす;;bo;"live, make a living; spend (one's time) ";"ku(reru), ku(rasu)";"live, make a living; spend (one's time). get dark; (the sun) sets; (the season) ends; (time) passes; be overwhelmed "
1828;簿;1;ボ;;bo;"record, book";-;-
1829;方;4;ホウ、かた;まさ、あ;hoo;"direction, way; side; part; square; way, method, means, scheme, process ";kata;"direction; settlement; person"
1830;包;2;ホウ、つつ-む;;hoo;"wrap, pack up; cover with; dress in; conceal ";tsutsu(mu);"wrap, pack up; cover with; dress in; conceal "
1831;芳;1;ホウ、かんば-しい;かお;hoo;fragrance;kanba(shii);"fragrant, balmy, favorable"
1832;邦;1;ホウ;くに;hoo;country;-;-
1833;奉;1;ホウ、[ブ]、たてまつ-る;;"hoo, [bu]";"present, dedicate; obey, follow, believe in, serve ";tatematsu(ru);"offer, present; revere; do respectfully"
1834;宝;2;ホウ、たから;ホ、ボ;hoo;treasure;takara;"treasure, valuables; wealth; jewels; mammon"
